Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[5]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality'];Prato;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);--;//html[1]/body[1]/div[3]/div[3]/div[1]/div[10]/div[2]/div[1]/div[1]/div[1]
Persona 1;//h2[@id='similar-nearby-companies']/small[1];Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4, 1, 3, 5] (5);10;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi - Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[1]/div[1]/h1[1]
Persona 1;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/h1[1]/span[1];Dragoni Luciano Tvc Hi-Fi;[2, 4, 1, 3, 5] (5);0,72;[2, 4] (2);Risultati di ricerca per Dragoni Luciano Tvc Hi-fi;/html/body/div/div/div/div/div/a
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[1]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code'];59100;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[3]/div[1]/div[1]/div[3]/div[2]/div[2]/span[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[3]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code'];59100;[2, 4, 1, 5, 3] (5);15;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/span[1]
Persona 1;//html[1]/body[1]/div[5]/div[2]/div[1]/div[9]/h2[1];Siti sociali Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4] (2);0,69;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi;//html[1]/body[1]/div[3]/div[3]/div[1]/div[1]/div[2]/div[1]/div[1]/h2[1]/span[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[2]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality'];Prato;[2, 4, 1, 5, 3] (5);3;[2, 4, 1, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[2]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[5]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality'];Prato;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[6]/div[1]/div[1]/div[3]/div[2]/div[2]/span[3]
Persona 1;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1];          E-mail a Dragoni Luciano Tvc Hi-Fi✕         ;[2, 4, 1, 3, 5] (5);2,42;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi;//html[1]/body[1]/div[3]/div[3]/div[1]/div[9]/div[2]/div[1]/div[1]/div[2]/a[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[5]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality'];Prato;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[5]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[1]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality'];Prato;[2, 4, 1, 5, 3] (5);3;[2, 4, 1, 5, 3] (5);        Prato       ;//html[1]/body[1]/div[3]/div[3]/div[1]/div[9]/div[2]/div[1]/div[1]/div[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[2]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code'];59100;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[4]/div[1]/div[1]/div[3]/div[2]/div[2]/span[1]
Persona 1;//html[1]/body[1]/div[5]/div[2]/div[1]/div[9]/h2[1];Siti sociali Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4] (2);0,72;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi - Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[1]/div[1]/h1[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[2]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code'];59100;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[5]/div[1]/div[1]/div[3]/div[2]/div[2]/span[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[2]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code'];59100;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[6]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[5]/div[2]/div[1]/div[7]/h2[1]/small[1];Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4, 1, 3, 5] (5);2,84;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi;//html[1]/body[1]/div[3]/div[3]/div[1]/div[9]/div[2]/div[1]/div[1]/div[2]/a[1]
Persona 1;//h2[@id='similar-nearby-companies']/small[1];Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4, 1, 3, 5] (5);9,35;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi;//html[1]/body[1]/div[3]/div[3]/div[1]/div[1]/div[2]/div[1]/div[1]/h2[1]/span[1]
Persona 1;//div[@id='main']/div[@class='card card-left-padding']/div[@class='h5 bold']/i;Dragoni Luciano Tvc Hi-Fi;[2, 4, 1, 3, 5] (5);10;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi;//html[1]/body[1]/div[3]/div[3]/div[1]/div[1]/div[2]/div[1]/div[1]/h2[1]/span[1]
Persona 1;//h2[@id='similar-nearby-companies']/small[1];Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4, 1, 3, 5] (5);0,69;[2, 4, 1] (3);Scrivi la tua recensione di Dragoni Luciano Tvc Hi-fi;/html/body/div/div/div/div/div/span/h4
Persona 1;//h2[@id='top-search'];Ricerche simili Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4] (2);0,64;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi - Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[1]/div[1]/h1[1]
Persona 1;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/span[1];59100;[2, 4, 1, 5, 3] (5);3;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[3]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code'];59100;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[6]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[3]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code'];59100;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[5]/div[1]/div[1]/div[3]/div[2]/div[2]/span[1]
Persona 1;//html[1]/body[1]/div[5]/div[2]/div[1]/div[11]/h2[1];Ricerche simili Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4] (2);0,72;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi;//html[1]/body[1]/div[3]/div[3]/div[1]/div[9]/div[2]/div[1]/div[1]/div[2]/a[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[1]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code'];59100;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[4]/div[1]/div[1]/div[3]/div[2]/div[2]/span[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[1]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality'];Prato;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);--;//html[1]/body[1]/div[3]/div[3]/div[1]/div[9]/div[2]/div[1]/div[5]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[6]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality'];Prato;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[2]/div[2]/span[3]
Persona 1;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/h1[1];Dragoni Luciano Tvc Hi-Fi, Prato;[2, 4, 1, 3, 5] (5);2,84;[2, 4, 1, 3, 5] (5);Dragoni Luciano Tvc Hi-fi;//html[1]/body[1]/div[3]/div[3]/div[1]/div[9]/div[2]/div[1]/div[1]/div[2]/a[1]
Persona 1;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[2]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality'];Prato;[2, 4, 1, 5, 3] (5);1;[2, 4, 1, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[3]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
