threshold, precisionMatchings, recallMatchings, avgPrecisions, avgRecalls, d1, d2, d1d2
0, 0.0625, 1.0, 0.05581395, 1.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, annamaria_bagnasco/orig12
0.2, 0.21052632, 1.0, 0.13425927, 1.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, annamaria_bagnasco/orig12
0.4, 0.67741936, 0.875, 0.6315789, 0.94736844, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, annamaria_bagnasco/orig12
0.6, 0.6, 0.25, 0.75, 0.625, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, annamaria_bagnasco/orig12
0.8, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, annamaria_bagnasco/orig12
1, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, annamaria_bagnasco/orig12
0, 0.39130434, 0.875, 0.34999996, 0.8695652, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig13
0.2, 0.46153846, 0.8333333, 0.38809523, 0.83928573, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig13
0.4, 0.71428573, 0.625, 0.6571428, 0.69285715, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig13
0.6, 0.73333335, 0.15277778, 0.9230769, 0.1826923, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig13
